UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 12:36 ?        00:00:09 /sbin/init splash
root           2       0  0 12:36 ?        00:00:00 [kthreadd]
root           3       2  0 12:36 ?        00:00:00 [rcu_gp]
root           4       2  0 12:36 ?        00:00:00 [rcu_par_gp]
root           5       2  0 12:36 ?        00:00:00 [slub_flushwq]
root           6       2  0 12:36 ?        00:00:00 [netns]
root           8       2  0 12:36 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 12:36 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 12:36 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 12:36 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 12:36 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 12:36 ?        00:00:01 [ksoftirqd/0]
root          15       2  0 12:36 ?        00:00:06 [rcu_preempt]
root          16       2  0 12:36 ?        00:00:00 [migration/0]
root          17       2  0 12:36 ?        00:00:00 [idle_inject/0]
root          19       2  0 12:36 ?        00:00:00 [cpuhp/0]
root          20       2  0 12:36 ?        00:00:00 [kdevtmpfs]
root          21       2  0 12:36 ?        00:00:00 [inet_frag_wq]
root          22       2  0 12:36 ?        00:00:00 [kauditd]
root          23       2  0 12:36 ?        00:00:00 [khungtaskd]
root          25       2  0 12:36 ?        00:00:00 [oom_reaper]
root          26       2  0 12:36 ?        00:00:00 [writeback]
root          28       2  0 12:36 ?        00:00:00 [kcompactd0]
root          29       2  0 12:36 ?        00:00:00 [ksmd]
root          30       2  0 12:36 ?        00:00:00 [khugepaged]
root          31       2  0 12:36 ?        00:00:00 [kintegrityd]
root          32       2  0 12:36 ?        00:00:00 [kblockd]
root          33       2  0 12:36 ?        00:00:00 [blkcg_punt_bio]
root          34       2  0 12:36 ?        00:00:00 [tpm_dev_wq]
root          35       2  0 12:36 ?        00:00:00 [ata_sff]
root          36       2  0 12:36 ?        00:00:00 [md]
root          37       2  0 12:36 ?        00:00:00 [edac-poller]
root          38       2  0 12:36 ?        00:00:00 [devfreq_wq]
root          39       2  0 12:36 ?        00:00:00 [watchdogd]
root          40       2  0 12:36 ?        00:00:00 [kworker/0:1H-kblockd]
root          41       2  0 12:36 ?        00:00:00 [kswapd0]
root          42       2  0 12:36 ?        00:00:00 [ecryptfs-kthread]
root          49       2  0 12:36 ?        00:00:00 [kthrotld]
root          53       2  0 12:36 ?        00:00:00 [acpi_thermal_pm]
root          54       2  0 12:36 ?        00:00:00 [xenbus_probe]
root          55       2  0 12:36 ?        00:00:00 [vfio-irqfd-clea]
root          56       2  0 12:36 ?        00:00:00 [mld]
root          57       2  0 12:36 ?        00:00:00 [ipv6_addrconf]
root          62       2  0 12:36 ?        00:00:00 [kstrp]
root          63       2  0 12:36 ?        00:00:05 [kworker/0:2-mm_percpu_wq]
root          69       2  0 12:36 ?        00:00:00 [zswap-shrink]
root          70       2  0 12:36 ?        00:00:00 [kworker/u3:0]
root         114       2  0 12:36 ?        00:00:00 [charger_manager]
root         148       2  0 12:36 ?        00:00:00 [scsi_eh_0]
root         149       2  0 12:36 ?        00:00:00 [scsi_tmf_0]
root         150       2  0 12:36 ?        00:00:00 [scsi_eh_1]
root         151       2  0 12:36 ?        00:00:00 [scsi_tmf_1]
root         152       2  0 12:36 ?        00:00:00 [scsi_eh_2]
root         153       2  0 12:36 ?        00:00:00 [scsi_tmf_2]
root         154       2  0 12:36 ?        00:00:00 [scsi_eh_3]
root         155       2  0 12:36 ?        00:00:00 [scsi_tmf_3]
root         156       2  0 12:36 ?        00:00:00 [scsi_eh_4]
root         157       2  0 12:36 ?        00:00:00 [scsi_tmf_4]
root         158       2  0 12:36 ?        00:00:00 [scsi_eh_5]
root         159       2  0 12:36 ?        00:00:00 [scsi_tmf_5]
root         195       2  0 12:36 ?        00:00:00 [jbd2/sda2-8]
root         196       2  0 12:36 ?        00:00:00 [ext4-rsv-conver]
root         208       2  0 12:36 ?        00:00:00 [hwrng]
root         270       1  0 12:36 ?        00:00:01 /lib/systemd/systemd-udevd
systemd+     390       1  0 12:36 ?        00:00:27 /lib/systemd/systemd-oomd
systemd+     392       1  0 12:36 ?        00:00:01 /lib/systemd/systemd-resolved
systemd+     394       1  0 12:36 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         470       1  0 12:37 ?        00:00:01 /usr/libexec/accounts-daemon
root         471       1  0 12:37 ?        00:00:00 /usr/sbin/acpid
avahi        474       1  0 12:37 ?        00:00:01 avahi-daemon: running [jaz-Standard-PC-Q35-ICH9-2009.local]
root         476       1  0 12:37 ?        00:00:00 /usr/sbin/cron -f -P
message+     478       1  0 12:37 ?        00:00:05 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         479       1  0 12:37 ?        00:00:03 /usr/sbin/NetworkManager --no-daemon
root         488       1  0 12:37 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         491       1  0 12:37 ?        00:00:08 /usr/libexec/polkitd --no-debug
root         493       1  0 12:37 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       496       1  0 12:37 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         503       1  0 12:37 ?        00:00:00 /usr/libexec/switcheroo-control
root         506       1  0 12:37 ?        00:00:01 /lib/systemd/systemd-logind
root         507       1  0 12:37 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         508       1  0 12:37 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        522     474  0 12:37 ?        00:00:00 avahi-daemon: chroot helper
root         554       1  0 12:38 ?        00:00:00 /usr/sbin/ModemManager
root         558       1  0 12:38 ?        00:00:00 /usr/sbin/cupsd -l
root         588       1  0 12:38 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         600       1  0 12:38 ?        00:00:00 /usr/sbin/gdm3
root         630       1  0 12:38 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     638       1  0 12:38 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     644       1  0 12:38 ?        00:00:00 /usr/sbin/kerneloops
rtkit        707       1  0 12:38 ?        00:00:00 /usr/libexec/rtkit-daemon
root         827       1  0 12:38 ?        00:00:00 /usr/libexec/upowerd
root         876       1  0 12:38 ?        00:00:00 /usr/libexec/packagekitd
colord      1046       1  0 12:39 ?        00:00:00 /usr/libexec/colord
root        1070       1  0 12:39 ?        00:00:08 /usr/sbin/spice-vdagentd
root        1202     600  0 12:39 ?        00:00:00 gdm-session-worker [pam/gdm-password]
jaz         1222       1  0 12:40 ?        00:00:04 /lib/systemd/systemd --user
jaz         1223    1222  0 12:40 ?        00:00:00 (sd-pam)
jaz         1231    1222  0 12:40 ?        00:00:00 /usr/bin/pipewire
jaz         1232    1222  0 12:40 ?        00:00:00 /usr/bin/pipewire-media-session
jaz         1233    1222  0 12:40 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
jaz         1237       1  0 12:40 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
jaz         1241    1222  0 12:40 ?        00:00:05 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
